x_0	x_1	f(x)
1.30456543e+04	15100	16500
1.30456543e+04	22550	4500
1.30456543e+04	26275	-37000
1.30456543e+04	30000	-41000
1.36547852e+04	200	0
1.36547852e+04	7650	6200
1.36547852e+04	11375	-61075
1.36547852e+04	1.32375000e+04	-38575
1.36547852e+04	15100	60000
1.36547852e+04	18825	37500
1.36547852e+04	22550	19250
1.36547852e+04	26275	-132250
1.36547852e+04	2.81375000e+04	-34750
1.36547852e+04	30000	-153000
1.42639160e+04	200	0
1.42639160e+04	15100	14500
1.42639160e+04	30000	-36000
1.48730469e+04	200	0
1.48730469e+04	3925	4595
1.48730469e+04	4.85625000e+03	89590
1.48730469e+04	5.78750000e+03	-250710
1.48730469e+04	6.25312500e+03	-94800
1.48730469e+04	6.71875000e+03	900
1.48730469e+04	7.18437500e+03	44500
1.48730469e+04	7650	97850
1.48730469e+04	8.58125000e+03	49125
1.48730469e+04	9.51250000e+03	269650
1.48730469e+04	1.04437500e+04	77275
1.48730469e+04	11375	-842525
1.48730469e+04	1.18406250e+04	-42925
1.48730469e+04	1.23062500e+04	-261075
1.48730469e+04	1.27718750e+04	-76000
1.48730469e+04	1.32375000e+04	-551075
1.48730469e+04	1.41687500e+04	69500
1.48730469e+04	1.46343750e+04	33250
1.48730469e+04	15100	868000
1.48730469e+04	1.60312500e+04	56250
1.48730469e+04	1.69625000e+04	116000
1.48730469e+04	18825	531750
1.48730469e+04	1.97562500e+04	35250
1.48730469e+04	2.06875000e+04	238750
1.48730469e+04	2.16187500e+04	84500
1.48730469e+04	22550	354000
1.48730469e+04	2.34812500e+04	59750
1.48730469e+04	2.44125000e+04	-81500
1.48730469e+04	2.53437500e+04	-107250
1.48730469e+04	2.58093750e+04	-37250
1.48730469e+04	26275	-1819250
1.48730469e+04	2.67406250e+04	-46750
1.48730469e+04	2.72062500e+04	-174000
1.48730469e+04	2.76718750e+04	-40250
1.48730469e+04	2.81375000e+04	-499250
1.48730469e+04	2.90687500e+04	-62250
1.48730469e+04	30000	-2246000
1.54821777e+04	200	0
1.54821777e+04	15100	13000
1.54821777e+04	30000	-33000
1.60913086e+04	200	0
1.60913086e+04	7650	6050
1.60913086e+04	11375	-39225
1.60913086e+04	15100	46500
1.60913086e+04	22550	28500
1.60913086e+04	26275	-87250
1.60913086e+04	30000	-123000
1.73095703e+04	200	0
1.73095703e+04	3925	600
1.73095703e+04	5.78750000e+03	-41550
1.73095703e+04	7650	23300
1.73095703e+04	9.51250000e+03	45450
1.73095703e+04	11375	-130500
1.73095703e+04	1.23062500e+04	-40000
1.73095703e+04	1.32375000e+04	-111700
1.73095703e+04	15100	167250
1.73095703e+04	18825	88750
1.73095703e+04	2.06875000e+04	36750
1.73095703e+04	22550	118250
1.73095703e+04	26275	-286000
1.73095703e+04	2.81375000e+04	-100500
1.73095703e+04	30000	-448500
1.85278320e+04	200	0
1.85278320e+04	15100	37750
1.85278320e+04	22550	30250
1.85278320e+04	26275	-58250
1.85278320e+04	30000	-101500
1.97460938e+04	200	0
1.97460938e+04	2.06250000e+03	13525
1.97460938e+04	2.99375000e+03	-47780
1.97460938e+04	3.45937500e+03	-39800
1.97460938e+04	3925	8800
1.97460938e+04	4.39062500e+03	33995
1.97460938e+04	4.85625000e+03	213050
1.97460938e+04	5.32187500e+03	62350
1.97460938e+04	5.78750000e+03	-573125
1.97460938e+04	6.02031250e+03	-55975
1.97460938e+04	6.25312500e+03	-236950
1.97460938e+04	6.48593750e+03	-39425
1.97460938e+04	6.71875000e+03	-90175
1.97460938e+04	6.95156250e+03	34500
1.97460938e+04	7.18437500e+03	115825
1.97460938e+04	7650	346900
1.97460938e+04	8.58125000e+03	113425
1.97460938e+04	9.04687500e+03	35100
1.97460938e+04	9.51250000e+03	628025
1.97460938e+04	9.97812500e+03	43325
1.97460938e+04	1.04437500e+04	186550
1.97460938e+04	1.09093750e+04	42725
1.97460938e+04	11375	-1775900
1.97460938e+04	1.18406250e+04	-74050
1.97460938e+04	1.23062500e+04	-540725
1.97460938e+04	1.25390625e+04	-43275
1.97460938e+04	1.27718750e+04	-177125
1.97460938e+04	1.30046875e+04	-43300
1.97460938e+04	1.32375000e+04	-1533275
1.97460938e+04	1.37031250e+04	-59000
1.97460938e+04	1.41687500e+04	50500
1.97460938e+04	1.46343750e+04	65500
1.97460938e+04	15100	2320750
1.97460938e+04	1.55656250e+04	59000
1.97460938e+04	1.60312500e+04	167500
1.97460938e+04	1.69625000e+04	351000
1.97460938e+04	1.78937500e+04	38500
1.97460938e+04	18825	1256250
1.97460938e+04	1.97562500e+04	72500
1.97460938e+04	2.06875000e+04	506250
1.97460938e+04	2.11531250e+04	38750
1.97460938e+04	2.16187500e+04	184750
1.97460938e+04	2.20843750e+04	52500
1.97460938e+04	22550	1726250
1.97460938e+04	2.30156250e+04	54000
1.97460938e+04	2.34812500e+04	174250
1.97460938e+04	2.44125000e+04	60500
1.97460938e+04	2.53437500e+04	-172250
1.97460938e+04	2.58093750e+04	-69250
1.97460938e+04	26275	-3847500
1.97460938e+04	2.67406250e+04	-100000
1.97460938e+04	2.72062500e+04	-412250
1.97460938e+04	2.76718750e+04	-102250
1.97460938e+04	2.81375000e+04	-1358000
1.97460938e+04	2.86031250e+04	-77000
1.97460938e+04	2.90687500e+04	-226250
1.97460938e+04	2.95343750e+04	-36250
1.97460938e+04	30000	-6329500
2.09643555e+04	200	0
2.09643555e+04	15100	30250
2.09643555e+04	22550	28750
2.09643555e+04	26275	-40500
2.09643555e+04	30000	-84500
2.21826172e+04	200	0
2.21826172e+04	7650	20350
2.21826172e+04	11375	-63100
2.21826172e+04	1.32375000e+04	-73475
2.21826172e+04	15100	108750
2.21826172e+04	18825	52500
2.21826172e+04	22550	114500
2.21826172e+04	26275	-137000
2.21826172e+04	2.81375000e+04	-64250
2.21826172e+04	30000	-312500
2.34008789e+04	200	0
2.34008789e+04	15100	24500
2.34008789e+04	30000	-72000
2.46191406e+04	200	0
2.46191406e+04	3925	835
2.46191406e+04	5.78750000e+03	-72280
2.46191406e+04	6.25312500e+03	-33000
2.46191406e+04	6.71875000e+03	-32775
2.46191406e+04	7650	74350
2.46191406e+04	9.51250000e+03	82025
2.46191406e+04	11375	-188675
2.46191406e+04	1.23062500e+04	-54800
2.46191406e+04	1.32375000e+04	-246750
2.46191406e+04	15100	364750
2.46191406e+04	1.69625000e+04	65500
2.46191406e+04	18825	173000
2.46191406e+04	2.06875000e+04	55500
2.46191406e+04	22550	424750
2.46191406e+04	2.44125000e+04	57500
2.46191406e+04	26275	-401250
2.46191406e+04	2.72062500e+04	-52750
2.46191406e+04	2.81375000e+04	-211250
2.46191406e+04	2.90687500e+04	-45000
2.46191406e+04	30000	-1073500
2.58374023e+04	200	0
2.58374023e+04	15100	20500
2.58374023e+04	30000	-61000
2.70556641e+04	200	0
2.70556641e+04	7650	17200
2.70556641e+04	11375	-33625
2.70556641e+04	1.32375000e+04	-50425
2.70556641e+04	15100	75000
2.70556641e+04	18825	36000
2.70556641e+04	22550	97750
2.70556641e+04	26275	-70250
2.70556641e+04	2.81375000e+04	-43000
2.70556641e+04	30000	-229000
2.82739258e+04	200	0
2.82739258e+04	15100	17000
2.82739258e+04	30000	-53000
2.94921875e+04	200	0
2.94921875e+04	2.06250000e+03	3.42375000e+04
2.94921875e+04	2.52812500e+03	36835
2.94921875e+04	2.99375000e+03	-80205
2.94921875e+04	3.45937500e+03	-89000
2.94921875e+04	3925	16430
2.94921875e+04	4.39062500e+03	6.77525000e+04
2.94921875e+04	4.85625000e+03	4.15527500e+05
2.94921875e+04	5.08906250e+03	34635
2.94921875e+04	5.32187500e+03	130535
2.94921875e+04	5.78750000e+03	-1.05260250e+06
2.94921875e+04	6.02031250e+03	-85225
2.94921875e+04	6.25312500e+03	-454350
2.94921875e+04	6.36953125e+03	-33875
2.94921875e+04	6.48593750e+03	-105025
2.94921875e+04	6.71875000e+03	-417800
2.94921875e+04	6.95156250e+03	48975
2.94921875e+04	7.18437500e+03	227550
2.94921875e+04	7.41718750e+03	49125
2.94921875e+04	7650	1046800
2.94921875e+04	8.11562500e+03	57275
2.94921875e+04	8.58125000e+03	223175
2.94921875e+04	9.04687500e+03	64250
2.94921875e+04	9.51250000e+03	1198800
2.94921875e+04	9.97812500e+03	83150
2.94921875e+04	1.04437500e+04	361825
2.94921875e+04	1.09093750e+04	93175
2.94921875e+04	11375	-2816525
2.94921875e+04	1.18406250e+04	-87075
2.94921875e+04	1.20734375e+04	-38450
2.94921875e+04	1.23062500e+04	-835125
2.94921875e+04	1.25390625e+04	-69825
2.94921875e+04	1.27718750e+04	-312000
2.94921875e+04	1.30046875e+04	-82475
2.94921875e+04	1.32375000e+04	-3314925
2.94921875e+04	1.34703125e+04	-66700
2.94921875e+04	1.37031250e+04	-198600
2.94921875e+04	1.41687500e+04	-228100
2.94921875e+04	1.46343750e+04	70000
2.94921875e+04	15100	4996750
2.94921875e+04	1.53328125e+04	34000
2.94921875e+04	1.55656250e+04	125500
2.94921875e+04	1.60312500e+04	401500
2.94921875e+04	1.64968750e+04	73000
2.94921875e+04	1.69625000e+04	914750
2.94921875e+04	1.74281250e+04	33750
2.94921875e+04	1.78937500e+04	101750
2.94921875e+04	18825	2574000
2.94921875e+04	1.97562500e+04	125500
2.94921875e+04	2.02218750e+04	40500
2.94921875e+04	2.06875000e+04	862750
2.94921875e+04	2.11531250e+04	65250
2.94921875e+04	2.16187500e+04	318750
2.94921875e+04	2.20843750e+04	93000
2.94921875e+04	22550	5584500
2.94921875e+04	2.30156250e+04	105000
2.94921875e+04	2.34812500e+04	382250
2.94921875e+04	2.39468750e+04	79250
2.94921875e+04	2.44125000e+04	606750
2.94921875e+04	2.53437500e+04	-149000
2.94921875e+04	2.58093750e+04	-83500
2.94921875e+04	26275	-5960500
2.94921875e+04	2.65078125e+04	-35750
2.94921875e+04	2.67406250e+04	-162250
2.94921875e+04	2.69734375e+04	-44500
2.94921875e+04	2.72062500e+04	-724750
2.94921875e+04	2.74390625e+04	-47250
2.94921875e+04	2.76718750e+04	-195000
2.94921875e+04	2.79046875e+04	-48750
2.94921875e+04	2.81375000e+04	-2816750
2.94921875e+04	2.83703125e+04	-46000
2.94921875e+04	2.86031250e+04	-174500
2.94921875e+04	2.88359375e+04	-41000
2.94921875e+04	2.90687500e+04	-592000
2.94921875e+04	2.93015625e+04	-33750
2.94921875e+04	2.95343750e+04	-117000
2.94921875e+04	30000	-14884500
3.07104492e+04	200	0
3.07104492e+04	15100	14250
3.07104492e+04	30000	-46500
3.19287109e+04	200	0
3.19287109e+04	7650	14500
3.19287109e+04	11375	-18900
3.19287109e+04	1.32375000e+04	-35800
3.19287109e+04	15100	53750
3.19287109e+04	22550	80750
3.19287109e+04	26275	-37000
3.19287109e+04	30000	-173500
3.31469727e+04	200	0
3.31469727e+04	15100	12500
3.31469727e+04	30000	-41000
3.43652344e+04	200	0
3.43652344e+04	7650	54550
3.43652344e+04	9.51250000e+03	37825
3.43652344e+04	11375	-57275
3.43652344e+04	1.32375000e+04	-121000
3.43652344e+04	15100	183750
3.43652344e+04	1.69625000e+04	41750
3.43652344e+04	18825	92250
3.43652344e+04	22550	296250
3.43652344e+04	2.44125000e+04	42500
3.43652344e+04	26275	-111000
3.43652344e+04	2.81375000e+04	-96500
3.43652344e+04	30000	-615500
3.55834961e+04	200	0
3.55834961e+04	15100	11000
3.55834961e+04	30000	-36000
3.68017578e+04	200	0
3.68017578e+04	15100	39000
3.68017578e+04	22550	67500
3.68017578e+04	30000	-136000
3.92382812e+04	200	0
3.92382812e+04	3925	2260
3.92382812e+04	4.85625000e+03	4.12625000e+04
3.92382812e+04	5.78750000e+03	-9.00925000e+04
3.92382812e+04	6.25312500e+03	-39800
3.92382812e+04	6.71875000e+03	-89825
3.92382812e+04	7650	187700
3.92382812e+04	9.51250000e+03	115075
3.92382812e+04	1.04437500e+04	34925
3.92382812e+04	11375	-139825
3.92382812e+04	1.23062500e+04	-39200
3.92382812e+04	1.32375000e+04	-364250
3.92382812e+04	1.37031250e+04	-33600
3.92382812e+04	1.41687500e+04	-88100
3.92382812e+04	15100	562000
3.92382812e+04	1.60312500e+04	51000
3.92382812e+04	1.69625000e+04	139250
3.92382812e+04	18825	296250
3.92382812e+04	2.06875000e+04	63500
3.92382812e+04	22550	994250
3.92382812e+04	2.34812500e+04	42500
3.92382812e+04	2.44125000e+04	140250
3.92382812e+04	26275	-253500
3.92382812e+04	2.72062500e+04	-48500
3.92382812e+04	2.81375000e+04	-280250
3.92382812e+04	2.90687500e+04	-81250
3.92382812e+04	30000	-1979000
4.16748047e+04	200	0
4.16748047e+04	15100	29500
4.16748047e+04	22550	56250
4.16748047e+04	30000	-108000
4.41113281e+04	200	0
4.41113281e+04	7650	40550
4.41113281e+04	11375	-17200
4.41113281e+04	1.32375000e+04	-65900
4.41113281e+04	15100	103250
4.41113281e+04	18825	59500
4.41113281e+04	22550	206500
4.41113281e+04	26275	-27500
4.41113281e+04	2.81375000e+04	-48250
4.41113281e+04	30000	-391500
4.65478516e+04	200	0
4.65478516e+04	15100	22750
4.65478516e+04	22550	46750
4.65478516e+04	30000	-87500
4.89843750e+04	200	0
4.89843750e+04	2.06250000e+03	7.56925000e+04
4.89843750e+04	2.52812500e+03	5.80925000e+04
4.89843750e+04	2.99375000e+03	-1.02297500e+05
4.89843750e+04	3.22656250e+03	-3.40775000e+04
4.89843750e+04	3.45937500e+03	-155180
4.89843750e+04	3925	47145
4.89843750e+04	4.39062500e+03	115970
4.89843750e+04	4.85625000e+03	6.77292500e+05
4.89843750e+04	5.08906250e+03	5.43175000e+04
4.89843750e+04	5.32187500e+03	2.21417500e+05
4.89843750e+04	5.55468750e+03	46650
4.89843750e+04	5.78750000e+03	-1.55899750e+06
4.89843750e+04	6.02031250e+03	-97950
4.89843750e+04	6.13671875e+03	-37650
4.89843750e+04	6.25312500e+03	-663025
4.89843750e+04	6.36953125e+03	-52675
4.89843750e+04	6.48593750e+03	-192425
4.89843750e+04	6.60234375e+03	-39900
4.89843750e+04	6.71875000e+03	-1105075
4.89843750e+04	6.95156250e+03	21725
4.89843750e+04	7.18437500e+03	293150
4.89843750e+04	7.41718750e+03	93325
4.89843750e+04	7650	2551950
4.89843750e+04	7.88281250e+03	44400
4.89843750e+04	8.11562500e+03	125825
4.89843750e+04	8.58125000e+03	399225
4.89843750e+04	9.04687500e+03	99500
4.89843750e+04	9.51250000e+03	1935800
4.89843750e+04	9.74531250e+03	33000
4.89843750e+04	9.97812500e+03	133550
4.89843750e+04	1.02109375e+04	33800
4.89843750e+04	1.04437500e+04	577575
4.89843750e+04	1.06765625e+04	39350
4.89843750e+04	1.09093750e+04	155225
4.89843750e+04	1.11421875e+04	35425
4.89843750e+04	11375	-3181600
4.89843750e+04	1.18406250e+04	-58700
4.89843750e+04	1.20734375e+04	-37625
4.89843750e+04	1.23062500e+04	-969275
4.89843750e+04	1.25390625e+04	-86125
4.89843750e+04	1.27718750e+04	-415775
4.89843750e+04	1.30046875e+04	-118450
4.89843750e+04	1.32375000e+04	-5441700
4.89843750e+04	1.34703125e+04	-117375
4.89843750e+04	1.37031250e+04	-406975
4.89843750e+04	1.39359375e+04	-83050
4.89843750e+04	1.41687500e+04	-902025
4.89843750e+04	1.44015625e+04	-32500
4.89843750e+04	1.46343750e+04	-35750
4.89843750e+04	15100	8380500
4.89843750e+04	1.53328125e+04	39000
4.89843750e+04	1.55656250e+04	175500
4.89843750e+04	1.57984375e+04	47000
4.89843750e+04	1.60312500e+04	691750
4.89843750e+04	1.62640625e+04	42750
4.89843750e+04	1.64968750e+04	153750
4.89843750e+04	1.67296875e+04	34500
4.89843750e+04	1.69625000e+04	1888750
4.89843750e+04	1.74281250e+04	84750
4.89843750e+04	1.78937500e+04	252000
4.89843750e+04	1.83593750e+04	46250
4.89843750e+04	18825	4682750
4.89843750e+04	1.92906250e+04	39750
4.89843750e+04	1.97562500e+04	191750
4.89843750e+04	2.02218750e+04	57000
4.89843750e+04	2.06875000e+04	1236500
4.89843750e+04	2.11531250e+04	92500
4.89843750e+04	2.16187500e+04	452750
4.89843750e+04	2.20843750e+04	135250
4.89843750e+04	2.23171875e+04	35000
4.89843750e+04	22550	13036250
4.89843750e+04	2.27828125e+04	39750
4.89843750e+04	2.30156250e+04	163500
4.89843750e+04	2.32484375e+04	41750
4.89843750e+04	2.34812500e+04	635500
4.89843750e+04	2.37140625e+04	39750
4.89843750e+04	2.39468750e+04	148000
4.89843750e+04	2.41796875e+04	33750
4.89843750e+04	2.44125000e+04	1576500
4.89843750e+04	2.48781250e+04	70750
4.89843750e+04	2.53437500e+04	37500
4.89843750e+04	2.58093750e+04	-55750
4.89843750e+04	26275	-6443500
4.89843750e+04	2.65078125e+04	-38750
4.89843750e+04	2.67406250e+04	-185000
4.89843750e+04	2.69734375e+04	-53250
4.89843750e+04	2.72062500e+04	-927250
4.89843750e+04	2.74390625e+04	-64500
4.89843750e+04	2.76718750e+04	-271750
4.89843750e+04	2.79046875e+04	-71250
4.89843750e+04	2.81375000e+04	-4303500
4.89843750e+04	2.83703125e+04	-73500
4.89843750e+04	2.86031250e+04	-292500
4.89843750e+04	2.88359375e+04	-71500
4.89843750e+04	2.90687500e+04	-1088750
4.89843750e+04	2.93015625e+04	-65750
4.89843750e+04	2.95343750e+04	-245750
4.89843750e+04	2.97671875e+04	-56000
4.89843750e+04	30000	-28594000
5.14208984e+04	200	0
5.14208984e+04	15100	17500
5.14208984e+04	22550	40500
5.14208984e+04	30000	-73000
5.38574219e+04	200	0
5.38574219e+04	7650	31050
5.38574219e+04	11375	-2350
5.38574219e+04	1.32375000e+04	-38425
5.38574219e+04	15100	61750
5.38574219e+04	18825	41000
5.38574219e+04	22550	149500
5.38574219e+04	30000	-266500
5.62939453e+04	200	0
5.62939453e+04	15100	14250
5.62939453e+04	22550	35000
5.62939453e+04	30000	-61500
5.87304688e+04	200	0
5.87304688e+04	3925	2675
5.87304688e+04	5.78750000e+03	-2.84375000e+04
5.87304688e+04	6.71875000e+03	-48275
5.87304688e+04	7650	108350
5.87304688e+04	9.51250000e+03	46225
5.87304688e+04	11375	1600
5.87304688e+04	1.32375000e+04	-123975
5.87304688e+04	1.41687500e+04	-48175
5.87304688e+04	15100	202250
5.87304688e+04	1.69625000e+04	64750
5.87304688e+04	18825	142000
5.87304688e+04	22550	517000
5.87304688e+04	2.44125000e+04	63750
5.87304688e+04	26275	22000
5.87304688e+04	2.81375000e+04	-78250
5.87304688e+04	30000	-907500
6.11669922e+04	200	0
6.11669922e+04	15100	11500
6.11669922e+04	30000	-52000
6.36035156e+04	200	0
6.36035156e+04	15100	40000
6.36035156e+04	22550	112000
6.36035156e+04	30000	-192000
6.60400391e+04	200	0
6.60400391e+04	15100	9500
6.60400391e+04	30000	-44000
6.84765625e+04	200	0
6.84765625e+04	3925	10865
6.84765625e+04	4.85625000e+03	47725
6.84765625e+04	5.78750000e+03	-75245
6.84765625e+04	6.71875000e+03	-149075
6.84765625e+04	7650	347850
6.84765625e+04	8.58125000e+03	39150
6.84765625e+04	9.51250000e+03	137700
6.84765625e+04	1.04437500e+04	37950
6.84765625e+04	11375	59775
6.84765625e+04	1.32375000e+04	-331225
6.84765625e+04	1.37031250e+04	-35625
6.84765625e+04	1.41687500e+04	-142375
6.84765625e+04	15100	549250
6.84765625e+04	1.60312500e+04	37250
6.84765625e+04	1.69625000e+04	190000
6.84765625e+04	1.78937500e+04	38250
6.84765625e+04	18825	438250
6.84765625e+04	2.06875000e+04	63250
6.84765625e+04	22550	1607250
6.84765625e+04	2.34812500e+04	42750
6.84765625e+04	2.44125000e+04	187750
6.84765625e+04	2.53437500e+04	45000
6.84765625e+04	26275	164000
6.84765625e+04	2.81375000e+04	-191750
6.84765625e+04	2.90687500e+04	-81250
6.84765625e+04	30000	-2732500
7.09130859e+04	200	0
7.09130859e+04	15100	7500
7.09130859e+04	30000	-38000
7.33496094e+04	200	0
7.33496094e+04	15100	26250
7.33496094e+04	22550	85250
7.33496094e+04	30000	-142500
7.57861328e+04	200	0
7.57861328e+04	15100	5750
7.57861328e+04	30000	-32500
7.82226562e+04	200	0
7.82226562e+04	7650	68500
7.82226562e+04	11375	23375
7.82226562e+04	1.32375000e+04	-51150
7.82226562e+04	15100	86500
7.82226562e+04	1.69625000e+04	33250
7.82226562e+04	18825	81750
7.82226562e+04	22550	305750
7.82226562e+04	2.44125000e+04	33500
7.82226562e+04	26275	50000
7.82226562e+04	30000	-500000
8.30957031e+04	200	0
8.30957031e+04	15100	18250
8.30957031e+04	22550	67500
8.30957031e+04	30000	-109500
8.79687500e+04	200	0
8.79687500e+04	2.06250000e+03	1.44227500e+05
